                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:35:38     -268.824083*       1.5133
BFGSLineSearch:    1[  2] 21:41:49     -268.863964*       0.8926
BFGSLineSearch:    2[  4] 22:39:56     -268.890347*       0.2921
BFGSLineSearch:    3[  5] 23:00:05     -268.901581*       0.2215
BFGSLineSearch:    4[  6] 23:20:27     -268.907452*       0.2490
BFGSLineSearch:    5[  7] 23:40:21     -268.913821*       0.1521
BFGSLineSearch:    6[  8] 23:54:49     -268.919227*       0.1330
BFGSLineSearch:    7[  9] 00:13:29     -268.924676*       0.1267
BFGSLineSearch:    8[ 11] 01:00:04     -268.925800*       0.1692
BFGSLineSearch:    9[ 12] 01:12:29     -268.927521*       0.0578
