Ag,Ir,Pd,Pt,Ru,Activity rel. to Pt(111)
0.39,0.04,0.04,0.50,0.03,30%
0.22,0.02,0.33,0.27,0.16,75%
0.08,0.04,0.21,0.29,0.38,46%
0.24,0.55,0.14,0.04,0.03,26%
0.17,0.34,0.11,0.26,0.12,33%
0.21,0.00,0.69,0.10,0.00,151%
0.00,0.00,1.00,0.00,0.00,49%
0.38,0.00,0.62,0.00,0.00,231%
0.58,0.00,0.42,0.00,0.00,260%
1.00,0.00,0.00,0.00,0.00,21%
0.49,0.00,0.32,0.00,0.19,128%
0.00,0.00,0.00,0.00,1.00,0%
0.46,0.11,0.43,0.00,0.00,198%
0.00,0.00,0.00,1.00,0.00,49%
0.00,1.00,0.00,0.00,0.00,0%
0.00,0.49,0.00,0.00,0.51,0%
0.00,0.00,0.60,0.00,0.40,148%
0.00,0.42,0.58,0.00,0.00,100%
0.00,0.37,0.00,0.63,0.00,116%
0.00,0.00,0.38,0.62,0.00,48%
0.00,0.00,0.34,0.00,0.66,115%
0.00,0.00,0.00,0.68,0.32,78%
0.67,0.33,0.00,0.00,0.00,5%
0.54,0.00,0.46,0.00,0.00,265%
0.53,0.00,0.38,0.09,0.00,193%
0.00,0.27,0.41,0.00,0.32,64%
0.00,0.66,0.00,0.34,0.00,51%
0.35,0.00,0.00,0.00,0.65,4%
0.00,0.32,0.36,0.32,0.00,60%
0.00,0.00,0.00,0.31,0.69,14%
0.00,0.00,0.65,0.25,0.10,149%
0.00,0.69,0.31,0.00,0.00,25%
0.71,0.00,0.00,0.00,0.29,10%
0.00,0.14,0.73,0.00,0.13,186%
0.23,0.00,0.60,0.00,0.17,124%
0.22,0.00,0.00,0.78,0.00,21%
0.00,0.28,0.00,0.46,0.26,59%
0.33,0.00,0.00,0.33,0.34,24%
0.00,0.21,0.79,0.00,0.00,208%
0.68,0.00,0.32,0.00,0.00,223%
0.00,0.75,0.00,0.00,0.25,0%
0.35,0.32,0.00,0.00,0.33,1%
0.00,0.17,0.68,0.15,0.00,162%
0.18,0.17,0.65,0.00,0.00,181%
0.00,0.23,0.00,0.00,0.77,0%
0.73,0.00,0.00,0.27,0.00,33%
0.26,0.35,0.00,0.39,0.00,31%
0.00,0.00,0.49,0.20,0.31,98%
0.00,0.17,0.13,0.70,0.00,45%
0.21,0.00,0.30,0.00,0.49,64%
