       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 22:33:22     -191.162151*       2.7285
LBFGS:    1 22:51:12     -191.361361*       2.8087
LBFGS:    2 23:17:23     -192.143247*       1.7549
LBFGS:    3 23:46:48     -192.184989*       2.7293
LBFGS:    4 00:13:50     -192.366801*       1.2677
LBFGS:    5 00:28:17     -192.428274*       0.9833
LBFGS:    6 00:49:45     -192.530767*       0.9745
LBFGS:    7 01:05:21     -192.562510*       0.6623
LBFGS:    8 01:21:52     -192.581669*       0.2811
LBFGS:    9 01:35:10     -192.595661*       0.3271
LBFGS:   10 01:53:09     -192.608383*       0.2615
LBFGS:   11 02:08:32     -192.613320*       0.1301
LBFGS:   12 02:21:33     -192.617221*       0.1039
LBFGS:   13 02:32:13     -192.618331*       0.0965
