       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 10:04:57     -186.291823*       1.8496
LBFGS:    1 10:20:44     -186.518971*       1.6104
LBFGS:    2 10:44:32     -187.268627*       0.6327
LBFGS:    3 11:03:24     -187.310802*       0.8275
LBFGS:    4 11:18:24     -187.346823*       0.5528
LBFGS:    5 11:37:13     -187.442463*       0.3282
LBFGS:    6 11:54:14     -187.468148*       0.4253
LBFGS:    7 12:07:17     -187.480694*       0.3271
LBFGS:    8 12:19:18     -187.504023*       0.1752
LBFGS:    9 12:35:19     -187.526780*       0.1449
LBFGS:   10 12:53:24     -187.533299*       0.2475
LBFGS:   11 13:04:33     -187.539817*       0.1277
LBFGS:   12 13:15:45     -187.543490*       0.1143
LBFGS:   13 13:28:59     -187.551364*       0.1279
LBFGS:   14 13:35:18     -187.553015*       0.1034
LBFGS:   15 13:48:16     -187.557540*       0.1857
LBFGS:   16 13:59:24     -187.559002*       0.0747
