     Ag,     Ir,     Pd,     Pt,     Ru, activity
1.00000,0.00000,0.00000,0.00000,0.00000,0.0086707
0.35000,0.10000,0.45000,0.10000,0.00000,0.1181362
0.45000,0.05000,0.50000,0.00000,0.00000,0.0995402
0.50000,0.20000,0.15000,0.15000,0.00000,0.0556011
0.65000,0.20000,0.10000,0.00000,0.05000,0.0489288
0.50000,0.05000,0.30000,0.05000,0.10000,0.0842122
0.55000,0.00000,0.30000,0.15000,0.00000,0.0738030
0.45000,0.00000,0.10000,0.45000,0.00000,0.0460708
0.50000,0.00000,0.00000,0.05000,0.45000,0.0259955
0.35000,0.20000,0.25000,0.05000,0.15000,0.0813186
0.60000,0.05000,0.00000,0.25000,0.10000,0.0223931
0.40000,0.00000,0.15000,0.35000,0.10000,0.0611326
0.55000,0.15000,0.20000,0.05000,0.05000,0.0669162
0.60000,0.35000,0.00000,0.00000,0.05000,0.0184811
0.75000,0.00000,0.10000,0.15000,0.00000,0.0301705
0.30000,0.40000,0.15000,0.15000,0.00000,0.0575387
0.35000,0.05000,0.20000,0.40000,0.00000,0.0758885
0.35000,0.00000,0.15000,0.45000,0.05000,0.0638392
0.40000,0.05000,0.35000,0.00000,0.20000,0.0952071
0.45000,0.20000,0.05000,0.10000,0.20000,0.0334975
0.40000,0.15000,0.15000,0.15000,0.15000,0.0589146
0.30000,0.25000,0.30000,0.05000,0.10000,0.0944083
0.40000,0.30000,0.00000,0.25000,0.05000,0.0280832
0.35000,0.35000,0.10000,0.15000,0.05000,0.0451243
0.95000,0.05000,0.00000,0.00000,0.00000,0.0360370
0.45000,0.05000,0.45000,0.05000,0.00000,0.0959680
0.35000,0.10000,0.45000,0.05000,0.05000,0.1155411
0.65000,0.20000,0.05000,0.10000,0.00000,0.0355927
0.55000,0.00000,0.30000,0.10000,0.05000,0.0696612
0.50000,0.20000,0.15000,0.10000,0.05000,0.0575963
0.45000,0.00000,0.10000,0.40000,0.05000,0.0441689
0.60000,0.30000,0.10000,0.00000,0.00000,0.0459779
0.50000,0.05000,0.30000,0.00000,0.15000,0.0805587
0.60000,0.05000,0.00000,0.20000,0.15000,0.0243036
0.75000,0.00000,0.10000,0.10000,0.05000,0.0362575
0.35000,0.05000,0.20000,0.35000,0.05000,0.0721772
0.40000,0.05000,0.30000,0.25000,0.00000,0.0908047
0.35000,0.00000,0.15000,0.40000,0.10000,0.0632797
0.55000,0.15000,0.20000,0.00000,0.10000,0.0693364
0.50000,0.00000,0.00000,0.00000,0.50000,0.0290078
0.40000,0.00000,0.15000,0.30000,0.15000,0.0564411
0.30000,0.40000,0.15000,0.10000,0.05000,0.0546021
0.35000,0.20000,0.25000,0.00000,0.20000,0.0811591
0.45000,0.20000,0.05000,0.05000,0.25000,0.0293363
0.30000,0.25000,0.30000,0.00000,0.15000,0.0937402
0.40000,0.15000,0.15000,0.10000,0.20000,0.0565907
0.35000,0.35000,0.10000,0.10000,0.10000,0.0418156
0.40000,0.30000,0.00000,0.20000,0.10000,0.0244451
0.45000,0.05000,0.45000,0.00000,0.05000,0.0931560
0.35000,0.10000,0.45000,0.00000,0.10000,0.1139766
0.95000,0.00000,0.05000,0.00000,0.00000,0.0087916
0.55000,0.00000,0.30000,0.05000,0.10000,0.0697591
0.65000,0.20000,0.05000,0.05000,0.05000,0.0353618
0.60000,0.30000,0.05000,0.05000,0.00000,0.0336563
0.50000,0.05000,0.25000,0.20000,0.00000,0.0785287
0.75000,0.00000,0.10000,0.05000,0.10000,0.0495816
0.45000,0.00000,0.10000,0.35000,0.10000,0.0429875
0.35000,0.05000,0.20000,0.30000,0.10000,0.0727128
0.55000,0.15000,0.15000,0.15000,0.00000,0.0573358
0.60000,0.05000,0.00000,0.15000,0.20000,0.0277072
0.50000,0.20000,0.15000,0.05000,0.10000,0.0565069
0.40000,0.05000,0.30000,0.20000,0.05000,0.0885113
0.35000,0.00000,0.15000,0.35000,0.15000,0.0612142
0.35000,0.20000,0.20000,0.25000,0.00000,0.0752332
0.45000,0.55000,0.00000,0.00000,0.00000,0.0055874
0.30000,0.40000,0.15000,0.05000,0.10000,0.0490445
0.30000,0.25000,0.25000,0.20000,0.00000,0.0852079
0.40000,0.00000,0.15000,0.25000,0.20000,0.0548394
0.35000,0.35000,0.10000,0.05000,0.15000,0.0382990
0.40000,0.30000,0.00000,0.15000,0.15000,0.0187135
0.45000,0.20000,0.05000,0.00000,0.30000,0.0285851
0.40000,0.15000,0.15000,0.05000,0.25000,0.0550399
0.45000,0.05000,0.40000,0.10000,0.00000,0.0979703
0.35000,0.10000,0.40000,0.15000,0.00000,0.1105008
0.95000,0.00000,0.00000,0.05000,0.00000,0.0138591
0.55000,0.00000,0.30000,0.00000,0.15000,0.0718036
0.65000,0.20000,0.05000,0.00000,0.10000,0.0370580
0.60000,0.30000,0.05000,0.00000,0.05000,0.0338564
0.75000,0.00000,0.10000,0.00000,0.15000,0.0570685
0.50000,0.05000,0.25000,0.15000,0.05000,0.0753446
0.45000,0.00000,0.10000,0.30000,0.15000,0.0426680
0.55000,0.15000,0.15000,0.10000,0.05000,0.0594912
0.35000,0.05000,0.20000,0.25000,0.15000,0.0733057
0.60000,0.05000,0.00000,0.10000,0.25000,0.0288775
0.40000,0.05000,0.30000,0.15000,0.10000,0.0877469
0.35000,0.00000,0.15000,0.30000,0.20000,0.0580239
0.50000,0.20000,0.15000,0.00000,0.15000,0.0595609
0.35000,0.20000,0.20000,0.20000,0.05000,0.0757712
0.45000,0.50000,0.05000,0.00000,0.00000,0.0199640
0.30000,0.25000,0.25000,0.15000,0.05000,0.0832957
0.30000,0.40000,0.15000,0.00000,0.15000,0.0466231
0.35000,0.35000,0.10000,0.00000,0.20000,0.0337790
0.40000,0.30000,0.00000,0.10000,0.20000,0.0172825
0.45000,0.20000,0.00000,0.35000,0.00000,0.0285952
0.40000,0.00000,0.15000,0.20000,0.25000,0.0530627
